scr_id,repair_id,reference_suite,unit_tests_passed,result_category,sandbox,timeout_s
SCR_0059,RA_0567,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0060,RA_0275,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0061,RA_0133,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0062,RA_0540,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0063,RA_0245,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0064,RA_0166,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0065,RA_0052,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0066,RA_0207,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0067,RA_0644,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0068,RA_0544,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0069,RA_0297,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0070,RA_0513,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0071,RA_0183,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0072,RA_0356,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0073,RA_0257,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0074,RA_0016,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0075,RA_0751,CodeHaluEval,False,fail-import,ubuntu-22.04/network=none,10
SCR_0076,RA_0565,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0077,RA_0527,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0078,RA_0252,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0079,RA_0109,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0080,RA_0666,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0081,RA_0673,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0082,RA_0560,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0083,RA_0519,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0084,RA_0705,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0085,RA_0236,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0086,RA_0204,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0087,RA_0747,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0088,RA_0144,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0089,RA_0356,HumanEval+,False,fail-import,ubuntu-22.04/network=none,10
SCR_0090,RA_0133,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0091,RA_0073,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0092,RA_0759,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0093,RA_0442,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0094,RA_0057,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0095,RA_0682,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0096,RA_0519,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0097,RA_0289,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0098,RA_0249,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0099,RA_0301,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0100,RA_0471,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0101,RA_0162,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0102,RA_0457,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0103,RA_0270,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0104,RA_0337,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0105,RA_0332,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0106,RA_0036,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0107,RA_0224,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0108,RA_0188,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0109,RA_0344,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0110,RA_0086,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0111,RA_0286,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0112,RA_0672,HumanEval+,False,fail-param,ubuntu-22.04/network=none,10
SCR_0113,RA_0255,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0114,RA_0006,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0115,RA_0271,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0116,RA_0148,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0117,RA_0601,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0118,RA_0404,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0119,RA_0307,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0120,RA_0645,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0121,RA_0087,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0122,RA_0542,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0123,RA_0674,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0124,RA_0611,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0125,RA_0783,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0126,RA_0738,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0127,RA_0154,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0128,RA_0742,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0129,RA_0659,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0130,RA_0045,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0131,RA_0526,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0132,RA_0440,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0133,RA_0718,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0134,RA_0143,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0135,RA_0771,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0136,RA_0583,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0137,RA_0703,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0138,RA_0729,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0139,RA_0710,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0140,RA_0236,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0141,RA_0032,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0142,RA_0137,CodeHaluEval,False,fail-param,ubuntu-22.04/network=none,10
SCR_0143,RA_0370,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0144,RA_0386,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0145,RA_0572,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0146,RA_0643,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0147,RA_0642,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0148,RA_0698,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0149,RA_0502,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0150,RA_0004,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0151,RA_0072,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0152,RA_0516,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0153,RA_0095,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0154,RA_0539,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0155,RA_0764,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0156,RA_0486,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0157,RA_0077,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0158,RA_0241,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0159,RA_0775,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0160,RA_0237,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0161,RA_0666,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0162,RA_0506,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0163,RA_0079,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0164,RA_0701,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0165,RA_0786,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0166,RA_0632,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0167,RA_0659,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0168,RA_0080,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0169,RA_0151,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0170,RA_0261,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0171,RA_0762,CodeHaluEval,False,fail-import,ubuntu-22.04/network=none,10
SCR_0172,RA_0312,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0173,RA_0582,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0174,RA_0013,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0175,RA_0063,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0176,RA_0276,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0177,RA_0102,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0178,RA_0223,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0179,RA_0502,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0180,RA_0726,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0181,RA_0293,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0182,RA_0478,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0183,RA_0786,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0184,RA_0563,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0185,RA_0320,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0186,RA_0485,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0187,RA_0297,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0188,RA_0079,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0189,RA_0461,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0190,RA_0397,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0191,RA_0216,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0192,RA_0596,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0193,RA_0146,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0194,RA_0537,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0195,RA_0369,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0196,RA_0618,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0197,RA_0521,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0198,RA_0116,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0199,RA_0374,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0200,RA_0510,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0201,RA_0404,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0202,RA_0163,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0203,RA_0504,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0204,RA_0462,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0205,RA_0310,CodeHaluEval,False,fail-import,ubuntu-22.04/network=none,10
SCR_0206,RA_0145,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0207,RA_0353,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0208,RA_0324,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0209,RA_0340,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0210,RA_0333,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0211,RA_0408,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0212,RA_0201,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0213,RA_0013,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0214,RA_0297,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0215,RA_0382,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0216,RA_0403,MBPP,False,timeout,ubuntu-22.04/network=none,10
SCR_0217,RA_0604,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0218,RA_0370,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0219,RA_0774,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0220,RA_0050,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0221,RA_0105,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0222,RA_0678,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0223,RA_0651,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0224,RA_0256,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0225,RA_0447,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0226,RA_0324,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0227,RA_0383,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0228,RA_0030,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0229,RA_0410,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0230,RA_0563,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0231,RA_0737,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0232,RA_0051,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0233,RA_0421,MBPP,False,timeout,ubuntu-22.04/network=none,10
SCR_0234,RA_0630,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0235,RA_0660,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0236,RA_0498,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0237,RA_0564,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0238,RA_0175,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0239,RA_0425,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0240,RA_0289,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0241,RA_0262,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0242,RA_0757,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0243,RA_0267,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0244,RA_0672,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0245,RA_0309,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0246,RA_0571,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0247,RA_0404,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0248,RA_0172,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0249,RA_0166,HumanEval+,False,fail-import,ubuntu-22.04/network=none,10
SCR_0250,RA_0213,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0251,RA_0510,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0252,RA_0226,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0253,RA_0341,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0254,RA_0438,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0255,RA_0561,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0256,RA_0250,HumanEval+,False,fail-import,ubuntu-22.04/network=none,10
SCR_0257,RA_0179,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0258,RA_0570,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0259,RA_0327,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0260,RA_0378,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0261,RA_0584,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0262,RA_0021,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0263,RA_0423,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0264,RA_0424,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0265,RA_0537,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0266,RA_0386,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0267,RA_0347,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0268,RA_0511,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0269,RA_0589,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0270,RA_0129,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0271,RA_0516,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0272,RA_0645,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0273,RA_0095,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0274,RA_0255,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0275,RA_0410,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0276,RA_0457,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0277,RA_0320,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0278,RA_0131,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0279,RA_0436,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0280,RA_0783,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0281,RA_0602,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0282,RA_0001,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0283,RA_0401,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0284,RA_0480,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0285,RA_0255,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0286,RA_0230,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0287,RA_0156,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0288,RA_0699,HumanEval+,False,fail-param,ubuntu-22.04/network=none,10
SCR_0289,RA_0740,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0290,RA_0663,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0291,RA_0088,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0292,RA_0041,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0293,RA_0129,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0294,RA_0584,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0295,RA_0661,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0296,RA_0312,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0297,RA_0642,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0298,RA_0541,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0299,RA_0448,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0300,RA_0783,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0301,RA_0102,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0302,RA_0308,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0303,RA_0597,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0304,RA_0398,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0305,RA_0229,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0306,RA_0002,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0307,RA_0551,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0308,RA_0472,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0309,RA_0324,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0310,RA_0249,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0311,RA_0539,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0312,RA_0561,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0313,RA_0030,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0314,RA_0722,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0315,RA_0315,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0316,RA_0023,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0317,RA_0511,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0318,RA_0663,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0319,RA_0084,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0320,RA_0234,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0321,RA_0435,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0322,RA_0233,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0323,RA_0035,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0324,RA_0347,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0325,RA_0431,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0326,RA_0699,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0327,RA_0203,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0328,RA_0300,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0329,RA_0517,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0330,RA_0211,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0331,RA_0206,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0332,RA_0785,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0333,RA_0237,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0334,RA_0227,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0335,RA_0779,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0336,RA_0112,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0337,RA_0508,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0338,RA_0192,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0339,RA_0497,MBPP,True,pass,ubuntu-22.04/network=none,10
